0
tensor(402.2572, dtype=torch.float64)
tensor(400.1116, dtype=torch.float64)
tensor(399.9587, dtype=torch.float64)
tensor(403.9476, dtype=torch.float64)
tensor(404.3225, dtype=torch.float64)
tensor(400.8772, dtype=torch.float64)
tensor(399.9381, dtype=torch.float64)
tensor(401.8137, dtype=torch.float64)
tensor(402.9936, dtype=torch.float64)
tensor(416.6847, dtype=torch.float64)
tensor(395.7643, dtype=torch.float64)
tensor(415.7882, dtype=torch.float64)
tensor(408.0877, dtype=torch.float64)
tensor(419.3021, dtype=torch.float64)
tensor(409.7054, dtype=torch.float64)
tensor(414.0114, dtype=torch.float64)
tensor(410.3793, dtype=torch.float64)
tensor(406.8126, dtype=torch.float64)
tensor(414.4954, dtype=torch.float64)
tensor(403.7825, dtype=torch.float64)
tensor(407.1136, dtype=torch.float64)
tensor(398.0823, dtype=torch.float64)
tensor(404.9436, dtype=torch.float64)
tensor(401.0671, dtype=torch.float64)
tensor(402.2779, dtype=torch.float64)
tensor(399.3872, dtype=torch.float64)
tensor(399.7215, dtype=torch.float64)
tensor(400.6774, dtype=torch.float64)
tensor(399.2154, dtype=torch.float64)
tensor(397.4809, dtype=torch.float64)
tensor(401.7447, dtype=torch.float64)
tensor(400.8387, dtype=torch.float64)
tensor(401.8355, dtype=torch.float64)
tensor(399.8412, dtype=torch.float64)
tensor(408.2320, dtype=torch.float64)
tensor(396.4452, dtype=torch.float64)
tensor(403.8693, dtype=torch.float64)
tensor(398.0899, dtype=torch.float64)
tensor(403.0501, dtype=torch.float64)
tensor(398.9845, dtype=torch.float64)
tensor(404.3740, dtype=torch.float64)
tensor(398.1014, dtype=torch.float64)
tensor(398.7734, dtype=torch.float64)
tensor(397.5666, dtype=torch.float64)
tensor(402.2235, dtype=torch.float64)
tensor(396.6175, dtype=torch.float64)
tensor(401.2177, dtype=torch.float64)
tensor(398.7578, dtype=torch.float64)
tensor(398.8593, dtype=torch.float64)
tensor(399.7360, dtype=torch.float64)
tensor(404.8880, dtype=torch.float64)
tensor(394.4983, dtype=torch.float64)
tensor(398.5305, dtype=torch.float64)
tensor(393.6883, dtype=torch.float64)
tensor(403.0836, dtype=torch.float64)
tensor(403.9912, dtype=torch.float64)
tensor(404.4459, dtype=torch.float64)
tensor(401.8460, dtype=torch.float64)
tensor(399.1948, dtype=torch.float64)
tensor(405.1570, dtype=torch.float64)
tensor(400.3400, dtype=torch.float64)
tensor(402.7962, dtype=torch.float64)
tensor(396.0927, dtype=torch.float64)
tensor(403.4744, dtype=torch.float64)
tensor(400.8740, dtype=torch.float64)
tensor(397.4830, dtype=torch.float64)
tensor(401.3923, dtype=torch.float64)
tensor(396.8436, dtype=torch.float64)
tensor(396.4492, dtype=torch.float64)
tensor(399.4210, dtype=torch.float64)
tensor(395.9971, dtype=torch.float64)
tensor(398.6650, dtype=torch.float64)
tensor(394.4679, dtype=torch.float64)
tensor(396.7070, dtype=torch.float64)
tensor(399.0319, dtype=torch.float64)
tensor(397.7431, dtype=torch.float64)
tensor(397.5784, dtype=torch.float64)
tensor(398.2566, dtype=torch.float64)
tensor(396.4615, dtype=torch.float64)
tensor(395.5221, dtype=torch.float64)
tensor(395.9818, dtype=torch.float64)
tensor(400.3110, dtype=torch.float64)
