0
tensor(72.3247, dtype=torch.float64)
tensor(67.8630, dtype=torch.float64)
tensor(70.5218, dtype=torch.float64)
tensor(64.9883, dtype=torch.float64)
tensor(70.2105, dtype=torch.float64)
tensor(65.5087, dtype=torch.float64)
tensor(67.7309, dtype=torch.float64)
tensor(64.0705, dtype=torch.float64)
tensor(63.8717, dtype=torch.float64)
tensor(63.2721, dtype=torch.float64)
tensor(63.6642, dtype=torch.float64)
tensor(60.4680, dtype=torch.float64)
tensor(59.5433, dtype=torch.float64)
tensor(59.7161, dtype=torch.float64)
tensor(56.8273, dtype=torch.float64)
tensor(60.4556, dtype=torch.float64)
tensor(57.3293, dtype=torch.float64)
tensor(57.5461, dtype=torch.float64)
tensor(56.2034, dtype=torch.float64)
tensor(56.0978, dtype=torch.float64)
tensor(57.0491, dtype=torch.float64)
tensor(55.2887, dtype=torch.float64)
tensor(55.3015, dtype=torch.float64)
tensor(55.2481, dtype=torch.float64)
tensor(55.5644, dtype=torch.float64)
tensor(55.2919, dtype=torch.float64)
tensor(53.1875, dtype=torch.float64)
tensor(54.3136, dtype=torch.float64)
tensor(53.2442, dtype=torch.float64)
tensor(54.0816, dtype=torch.float64)
tensor(53.0168, dtype=torch.float64)
tensor(53.6526, dtype=torch.float64)
tensor(52.3405, dtype=torch.float64)
tensor(51.9372, dtype=torch.float64)
tensor(51.2548, dtype=torch.float64)
tensor(52.4984, dtype=torch.float64)
tensor(52.3403, dtype=torch.float64)
tensor(52.2477, dtype=torch.float64)
tensor(52.5280, dtype=torch.float64)
tensor(50.9683, dtype=torch.float64)
tensor(51.5065, dtype=torch.float64)
tensor(50.8796, dtype=torch.float64)
tensor(50.8743, dtype=torch.float64)
tensor(51.5853, dtype=torch.float64)
tensor(49.5187, dtype=torch.float64)
tensor(51.7127, dtype=torch.float64)
tensor(49.8949, dtype=torch.float64)
tensor(50.0825, dtype=torch.float64)
tensor(49.5358, dtype=torch.float64)
tensor(49.3067, dtype=torch.float64)
tensor(48.8853, dtype=torch.float64)
tensor(49.5646, dtype=torch.float64)
tensor(50.0033, dtype=torch.float64)
tensor(50.0352, dtype=torch.float64)
tensor(49.9476, dtype=torch.float64)
tensor(49.7656, dtype=torch.float64)
tensor(48.8997, dtype=torch.float64)
tensor(49.4833, dtype=torch.float64)
tensor(48.9620, dtype=torch.float64)
tensor(51.2312, dtype=torch.float64)
tensor(47.6992, dtype=torch.float64)
tensor(49.6906, dtype=torch.float64)
tensor(48.0790, dtype=torch.float64)
tensor(48.7192, dtype=torch.float64)
tensor(47.4978, dtype=torch.float64)
tensor(48.2149, dtype=torch.float64)
tensor(49.8794, dtype=torch.float64)
tensor(49.4956, dtype=torch.float64)
tensor(50.0617, dtype=torch.float64)
tensor(48.5640, dtype=torch.float64)
tensor(49.1706, dtype=torch.float64)
tensor(51.3558, dtype=torch.float64)
tensor(48.6769, dtype=torch.float64)
tensor(48.5049, dtype=torch.float64)
tensor(48.9079, dtype=torch.float64)
tensor(49.4177, dtype=torch.float64)
tensor(46.4685, dtype=torch.float64)
tensor(48.5932, dtype=torch.float64)
tensor(47.6752, dtype=torch.float64)
tensor(49.4700, dtype=torch.float64)
tensor(47.1088, dtype=torch.float64)
tensor(45.8355, dtype=torch.float64)
tensor(49.2773, dtype=torch.float64)
tensor(47.4727, dtype=torch.float64)
tensor(46.1893, dtype=torch.float64)
tensor(46.6539, dtype=torch.float64)
tensor(46.3359, dtype=torch.float64)
tensor(44.8925, dtype=torch.float64)
